School,MonthCode,CalMonth,GradeLevel,GradeSort,RosterCount,Absent,Present,Released
01M140,5,Jan,PK,-1,18,81,274,0
01M140,6,Feb,1,1,29,38,368,0
01M140,6,Feb,2,2,28,31,351,0
01M140,6,Feb,3,3,30,25,372,0
01M140,6,Feb,4,4,33,27,435,0
01M140,6,Feb,5,5,34,38,438,0
01M140,6,Feb,6,6,67,65,861,0
01M140,6,Feb,7,7,66,55,852,0
01M140,6,Feb,8,8,59,60,762,0
01M140,6,Feb,0K,0,38,78,454,0
01M140,6,Feb,PK,-1,17,44,194,0
01M140,7,Mar,1,1,29,81,556,0
01M140,7,Mar,2,2,28,54,562,0
01M140,7,Mar,3,3,29,42,594,0
01M140,7,Mar,4,4,33,62,661,0
01M140,7,Mar,5,5,34,62,686,0
